human_manager_id,team_id,year,league_id,sub_league_id,division_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,tavg,woba,ops,sbp,ws
1,13,2018,100,0,0,1,0,6365,5589,1429,1169,0,0,342,34,117,48,17,685,717,614,33,68,62,31,1,152,2413,1458,493,0,0.2557,0.3350,0.3918,742.1528,4.5315,0.1362,0.2557,0.0000,0.7268,73.8462,0.0000
1,13,2019,100,0,0,1,0,6341,5602,1479,1316,0,0,345,33,155,34,12,766,790,582,51,64,55,36,2,159,2405,1458,533,0,0.2640,0.3382,0.4204,793.6526,4.8868,0.1564,0.2640,0.0000,0.7585,73.9130,0.0000
1,13,2020,100,0,0,1,0,6479,5720,1539,1292,0,0,305,38,124,44,29,701,724,594,33,68,66,29,2,157,2367,1458,467,0,0.2691,0.3433,0.4007,786.4069,4.7586,0.1316,0.2691,0.0000,0.7440,60.2740,0.0000
1,13,2021,100,0,0,1,0,6318,5595,1446,1432,0,0,275,36,143,56,22,691,717,547,34,77,56,40,3,139,2299,1458,454,0,0.2584,0.3307,0.3971,741.9677,4.5468,0.1387,0.2584,0.0000,0.7279,71.7949,0.0000
1,13,2022,100,0,0,1,0,6193,5507,1335,1355,0,0,288,27,119,59,22,626,650,524,28,72,52,38,0,141,2348,1458,434,0,0.2424,0.3144,0.3693,644.9532,3.9353,0.1269,0.2424,0.0000,0.6838,72.8395,0.0000
1,13,2023,100,0,0,1,0,6230,5564,1402,1343,0,0,292,30,136,53,14,613,647,517,23,63,62,21,3,161,2301,1458,458,0,0.2520,0.3215,0.3886,689.9333,4.2145,0.1366,0.2520,0.0000,0.7101,79.1045,0.0000
1,13,2024,100,0,0,1,0,6180,5577,1375,1207,0,0,320,42,108,66,16,602,630,458,37,58,53,32,2,127,2241,1458,470,0,0.2465,0.3087,0.3771,652.4754,3.9767,0.1305,0.2465,0.0000,0.6858,80.4878,0.0000
1,13,2025,100,0,0,1,0,6309,5658,1524,1185,0,0,308,44,132,99,23,728,766,491,37,51,77,30,2,151,2256,1458,484,0,0.2694,0.3316,0.4093,766.2855,4.6862,0.1400,0.2694,0.0000,0.7410,81.1475,0.0000
1,13,2026,100,0,0,1,0,6608,5844,1706,1158,0,0,369,51,183,96,17,901,949,579,50,71,64,48,2,159,2333,1458,603,0,0.2919,0.3601,0.4665,986.7619,6.0196,0.1745,0.2919,0.0000,0.8266,84.9558,0.0000
1,13,2027,100,0,0,1,0,6542,5787,1654,1152,0,0,371,49,199,116,45,921,955,601,68,69,45,39,1,139,2322,1458,619,0,0.2858,0.3578,0.4700,975.1281,5.9824,0.1842,0.2858,0.0000,0.8278,72.0497,0.0000
1,13,2028,100,0,0,1,0,6277,5609,1440,1180,0,0,231,13,274,123,48,776,811,543,21,45,41,38,1,104,2310,1458,518,0,0.2567,0.3253,0.4491,828.4351,5.0836,0.1924,0.2567,0.0000,0.7744,71.9298,0.0000
1,13,2029,100,0,0,1,0,6420,5676,1547,1325,0,0,338,35,260,139,50,873,911,598,49,52,48,45,1,88,2377,1458,633,0,0.2726,0.3448,0.4819,966.1165,5.9828,0.2093,0.2726,0.0000,0.8267,73.5450,0.0000
1,13,2030,100,0,0,1,0,6554,5690,1581,1449,0,0,295,34,320,115,48,987,1017,694,45,79,43,48,0,88,2323,1458,649,0,0.2779,0.3615,0.5104,1083.0771,6.7443,0.2325,0.2779,0.0000,0.8719,70.5521,0.0000
1,13,2031,100,0,0,1,0,6287,5598,1445,1492,0,0,299,28,242,125,61,781,813,536,34,65,60,26,2,83,2274,1458,569,0,0.2581,0.3287,0.4512,842.2486,5.1884,0.1931,0.2581,0.0000,0.7799,67.2043,0.0000
1,13,2032,100,0,0,1,0,6235,5467,1406,1484,0,0,275,40,249,103,43,816,850,587,29,65,71,45,0,89,2321,1458,564,0,0.2572,0.3339,0.4588,859.9381,5.3883,0.2016,0.2572,0.0000,0.7926,70.5479,0.0000
1,13,2033,100,0,0,1,0,6237,5531,1349,1665,0,0,272,30,216,83,34,716,749,565,21,59,48,34,0,104,2393,1458,518,0,0.2439,0.3188,0.4211,756.5896,4.6406,0.1772,0.2439,0.0000,0.7399,70.9402,0.0000
1,13,2034,100,0,0,1,0,6192,5466,1342,1594,0,0,272,30,205,75,41,704,732,562,41,84,33,47,0,114,2399,1458,507,0,0.2455,0.3228,0.4188,748.0310,4.6334,0.1733,0.2455,0.0000,0.7416,64.6552,0.0000
