human_manager_id,team_id,year,league_id,sub_league_id,division_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
1,13,2018,100,0,0,1,0,0,0,1458,6157,1699,4341,117,506,0,9,107,35,0,13059,0,0.9810,4.1626,0.3271,0.0000
1,13,2019,100,0,0,1,0,0,0,1458,6024,1577,4341,106,502,0,8,103,23,0,13044,0,0.9824,4.0833,0.2233,0.0000
1,13,2020,100,0,0,1,0,0,0,1458,6070,1621,4369,80,490,0,11,93,26,0,13140,0,0.9868,4.1027,0.2796,0.0000
1,13,2021,100,0,0,1,0,0,0,1458,6049,1629,4315,105,499,3,16,111,28,0,12969,0,0.9826,4.1249,0.2523,0.0000
1,13,2022,100,0,0,1,0,0,0,1458,5973,1610,4274,89,468,0,15,114,39,0,12852,0,0.9851,4.1204,0.3421,0.0000
1,13,2023,100,0,0,1,0,0,0,1458,6031,1706,4247,78,564,0,19,123,29,0,12762,0,0.9871,4.1982,0.2358,0.0000
1,13,2024,100,0,0,1,0,0,0,1458,6141,1696,4323,122,446,0,9,108,25,0,12990,0,0.9801,4.1702,0.2315,0.0000
1,13,2025,100,0,0,1,0,0,0,1458,6182,1720,4334,128,437,0,11,87,24,0,13029,0,0.9793,4.1819,0.2759,0.0000
1,13,2026,100,0,0,1,0,0,0,1458,6164,1657,4427,80,409,0,8,110,41,0,13284,0,0.9870,4.1220,0.3727,0.0000
1,13,2027,100,0,0,1,0,0,0,1458,6139,1647,4382,110,409,0,9,102,18,0,13164,0,0.9821,4.1219,0.1765,0.0000
1,13,2028,100,0,0,1,0,0,0,1458,6142,1656,4395,91,397,0,13,85,26,0,13185,0,0.9852,4.1304,0.3059,0.0000
1,13,2029,100,0,0,1,0,0,0,1458,5969,1536,4358,75,359,0,16,89,29,0,13074,0,0.9874,4.0574,0.3258,0.0000
1,13,2030,100,0,0,1,0,0,0,1458,5904,1434,4387,83,368,0,18,100,31,0,13161,0,0.9859,3.9806,0.3100,0.0000
1,13,2031,100,0,0,1,0,0,0,1458,5996,1551,4372,73,442,0,14,89,23,0,13116,0,0.9878,4.0643,0.2584,0.0000
1,13,2032,100,0,0,1,0,0,0,1458,5867,1467,4314,86,387,0,14,85,19,0,12942,0,0.9853,4.0202,0.2235,0.0000
1,13,2033,100,0,0,1,0,0,0,1458,5937,1496,4358,83,393,0,3,88,26,0,13077,0,0.9860,4.0289,0.2955,0.0000
1,13,2034,100,0,0,1,0,0,0,1458,5810,1408,4310,92,431,0,14,94,30,0,12930,0,0.9842,3.9800,0.3191,0.0000
