human_manager_id,team_id,year,league_id,sub_league_id,division_id,gate_revenue,media_revenue,merchandising_revenue,other_revenue,revenue_sharing,playoff_revenue,cash,player_expenses,staff_expenses,stadium_expenses,attendance,fan_interest,fan_loyalty,fan_modifier,ticket_price,budget,market,owner_expectation
1,13,2018,100,0,0,26131649,77500000,26929821,'',0,0,4000000,81879253,2008380,0,2161793,83,7,10,33.4758,150000000,5,0
1,13,2019,100,0,0,39160625,72250000,28141295,'',2349449,0,8000000,117492107,3590039,0,2910242,84,7,11,31.4152,164000000,5,0
1,13,2020,100,0,0,30836203,69750000,26349895,'',0,0,8000000,123573767,3771999,0,2545435,80,7,0,32.6014,180000000,5,0
1,13,2021,100,0,0,24424964,69750000,24446728,'',0,0,10000000,135324461,4780000,0,2065608,76,7,0,33.2032,182000000,5,0
1,13,2022,100,0,0,15032638,67250000,23770942,'',0,0,-390000,118562737,5107999,0,1539137,75,7,0,35.1036,166000000,5,0
1,13,2023,100,0,0,12451130,67250000,23597014,'',0,0,-7000000,96030244,4501999,0,1366217,72,7,0,36.5966,150000000,5,0
1,13,2024,100,0,0,22474033,67250000,22439208,'',7699652,0,3129565,91014951,4411999,0,1436594,70,7,0,34.5328,138000000,5,0
1,13,2025,100,0,0,26688199,64750000,22988294,'',6589007,0,10000000,95358016,4371999,0,1921587,68,7,0,33.2815,150000000,5,0
1,13,2026,100,0,0,43312540,64750000,23142311,'',6780256,1212832,10000000,125655957,4578000,0,2565693,72,7,-1,31.1088,160000000,5,0
1,13,2027,100,0,0,47677810,64750000,22955976,'',0,0,10000000,131523386,4435999,0,2686050,72,7,0,30.7205,174000000,5,0
1,13,2028,100,0,0,46265350,64750000,23502614,'',0,1212992,10000005,131356102,4339999,0,2888781,75,7,0,30.9074,190000000,5,0
1,13,2029,100,0,0,52647135,64750000,24195789,'',5617,7986035,10000000,148563408,4896000,0,2846313,80,7,0,33.5047,194000000,5,0
1,13,2030,100,0,0,51534950,67250000,27341265,'',0,21698580,10000000,156765401,4920000,0,3140683,83,7,7,33.8114,204000000,5,0
1,13,2031,100,0,0,50425463,67250000,25239321,'',0,0,10000000,178905856,5112000,0,2857098,83,7,0,33.9968,222000000,5,0
1,13,2032,100,0,0,40711508,67250000,24866611,'',-3978974,19466244,-6500000,176588644,5703999,0,2527747,84,7,0,34.3389,216000000,5,0
1,13,2033,100,0,0,29946992,67250000,24628097,'',-2091547,0,-8000000,133793880,5638000,0,2002069,80,7,0,35.8615,196000000,5,0
1,13,2034,100,0,0,30886895,67250000,23942357,'',0,0,-6000000,120770414,5693999,0,2502429,79,7,-8,30.1986,190000000,5,0
