team_id,affiliated_team_id
1,38
1,61
1,117
1,129
1,166
2,32
2,86
2,103
2,131
2,159
3,59
3,88
3,113
3,148
3,154
4,33
4,85
4,92
4,121
4,168
5,35
5,81
5,93
5,144
5,152
6,53
6,64
6,109
6,130
6,177
7,43
7,90
7,120
7,135
7,164
8,37
8,87
8,91
8,122
8,171
9,55
9,79
9,114
9,133
9,151
10,31
10,83
10,118
10,138
10,160
11,60
11,73
11,115
11,143
11,165
12,46
12,70
12,105
12,147
12,167
13,45
13,76
13,94
13,137
13,174
14,54
14,74
14,95
14,134
14,169
15,57
15,65
15,119
15,150
15,178
16,49
16,89
16,107
16,124
16,161
17,42
17,77
17,112
17,136
17,163
18,41
18,69
18,99
18,140
18,158
19,39
19,84
19,106
19,139
19,156
20,47
20,72
20,116
20,149
20,170
21,34
21,62
21,108
21,146
21,173
22,40
22,82
22,104
22,123
22,175
23,36
23,78
23,101
23,127
23,162
24,51
24,68
24,111
24,142
24,153
25,56
25,80
25,102
25,126
25,155
26,48
26,63
26,100
26,132
26,179
27,58
27,71
27,97
27,125
27,180
28,52
28,75
28,110
28,145
28,172
29,50
29,67
29,96
29,128
29,157
30,44
30,66
30,98
30,141
30,176
